filename,count,max,avg,hunks_count
adc-k6-functional/charts/network-policy/eric-adc-ctr-p-policy.yaml,13,13,13,1.0
adc-k6-functional/scripts/install_moc-ctr.sh,6,6,6,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0.tar.gz,0,0,0,3.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/3c09c798cf899b872a7cdfd59d63e4212aa09c7891b63ac86fb2c962224ee4c7/VERSION,1,1,1,2.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/3c09c798cf899b872a7cdfd59d63e4212aa09c7891b63ac86fb2c962224ee4c7/json,1,1,1,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/3c09c798cf899b872a7cdfd59d63e4212aa09c7891b63ac86fb2c962224ee4c7/layer.tar,0,0,0,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/7efa05788eeee9f5db39c88223fa56d2c441e72652fd4901353a3cada4395cde.json,1,1,1,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/9080d88c77f7c39f53939319747704620b8ea00ae52669a3b72635dbf86e377f/VERSION,1,1,1,1.5
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/9080d88c77f7c39f53939319747704620b8ea00ae52669a3b72635dbf86e377f/json,1,1,1,3.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/9080d88c77f7c39f53939319747704620b8ea00ae52669a3b72635dbf86e377f/layer.tar,0,0,0,0.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/a0e2d957ab7ed7dcb56ec8635c8c79717d9f9f0e141db65cd8e7624f202c198b/VERSION,1,1,1,0.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/a0e2d957ab7ed7dcb56ec8635c8c79717d9f9f0e141db65cd8e7624f202c198b/json,1,1,1,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/a0e2d957ab7ed7dcb56ec8635c8c79717d9f9f0e141db65cd8e7624f202c198b/layer.tar,0,0,0,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/manifest.json,1,1,1,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/repositories,1,1,1,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0.tar.gz,0,0,0,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/.helmignore,23,23,23,1.0
